Documento,PDF,Classificação
"PORTARIA GSI/PR Nº 157, DE 13 DE ABRIL DE 2026",https://www.in.gov.br/web/dou/-/portaria-gsi/pr-n-157-de-13-de-abril-de-2026-699558859,Alta chance
"PORTARIA MCTI Nº 9.996, DE 13 DE ABRIL DE 2026",https://www.in.gov.br/web/dou/-/portaria-mcti-n-9.996-de-13-de-abril-de-2026-699296584,Alta chance
"PORTARIA MCTI Nº 9.987, DE 7 DE ABRIL DE 2026",https://www.in.gov.br/web/dou/-/portaria-mcti-n-9.987-de-7-de-abril-de-2026-699269529,Alta chance
"ATO COTEPE/ICMS Nº 49, DE 13 DE ABRIL DE 2026",https://www.in.gov.br/web/dou/-/ato-cotepe/icms-n-49-de-13-de-abril-de-2026-699558384,Talvez
EXTRATO DE TERMO ADITIVO,https://www.in.gov.br/web/dou/-/extrato-de-termo-aditivo-699358867,Baixa chance
"PORTARIA GABAER Nº 480/GC1, DE 13 DE ABRIL DE 2026",https://www.in.gov.br/web/dou/-/portaria-gabaer-n-480/gc1-de-13-de-abril-de-2026-699307831,Baixa chance
"PORTARIA GABAER Nº 481/GC1, DE 13 DE ABRIL DE 2026",https://www.in.gov.br/web/dou/-/portaria-gabaer-n-481/gc1-de-13-de-abril-de-2026-699296398,Baixa chance
"PORTARIA - C Ex Nº 466, DE 10 DE ABRIL DE 2026",https://www.in.gov.br/web/dou/-/portaria-c-ex-n-466-de-10-de-abril-de-2026-699278891,Baixa chance
DECRETOS DE 13 DE ABRIL DE 2026,https://www.in.gov.br/web/dou/-/decretos-de-13-de-abril-de-2026-699572127,Baixa chance
AVISO DE LICITAÇÃOPregão Eletrônico nº 90005/2026,https://www.in.gov.br/web/dou/-/aviso-de-licitacaopregao-eletronico-n-90005/2026-699545007,Baixa chance
edital de 13 de abril de 2026,https://www.in.gov.br/web/dou/-/edital-de-13-de-abril-de-2026-699402746,Baixa chance
AVISO DE LICITAÇÃO,https://www.in.gov.br/web/dou/-/aviso-de-licitacao-699527489,Baixa chance
"PORTARIA GABAER Nº 483/GC1, DE 13 DE ABRIL DE 2026",https://www.in.gov.br/web/dou/-/portaria-gabaer-n-483/gc1-de-13-de-abril-de-2026-699318016,Baixa chance
"PORTARIA CAE-MD N° 1.872, de 7 de abril de 2026",https://www.in.gov.br/web/dou/-/portaria-cae-md-n-1.872-de-7-de-abril-de-2026-699573958,Baixa chance
"PORTARIA GABAER Nº 482/GC1, DE 13 DE ABRIL DE 2026",https://www.in.gov.br/web/dou/-/portaria-gabaer-n-482/gc1-de-13-de-abril-de-2026-699273927,Baixa chance
"ATA Nº 10, DE 7 DE ABRIL DE 2026",https://www.in.gov.br/web/dou/-/ata-n-10-de-7-de-abril-de-2026-699585581,Baixa chance
